restaurant_name,review_number,overallRating,wifi,livraison,lat,lng,district,Française,Européenne,Végétariens bienvenus,Sud-américaine,Méditerranéenne,Internationale,Barbecue/Grillades,Bar à vins,Moderne,Diner,Pub,Japonaise,Sushi,Asiatique,Steakhouse,Café,Italienne,Pizza,Plats sans gluten,Restauration rapide,Halal,Péruvienne,Fusion,Indienne,Vietnamienne,Choix végétaliens,Américaine,Traiteur,Bar à bières,Bar,Cuisine de rue (street food),Thaï,Grillades,Libanaise,Moyen_Orient,Pakistanaise,Fruits de mer ,Poisson,Coréenne,Marocaine,Cajun ,Créole,Britannique,Tibétaine,Népalaise,Perse,Saine,Africaine,Russe,Brésilienne,Mexicaine,Turque,Irlandaise,Caraïbes,Cubaine,Scandinave,Norvégienne,Allemande,Arménienne,Europe de l'Est,Grecque,Portugaise,Soupes,Éthiopienne,Cambodgienne,Argentine,Géorgienne,Colombienne,Belge,Roumaine,Tunisienne,Suisse,Albanaise,Canadienne,Amérique centrale,Arabe,Vénézuélienne,Chilienne
Mamamia Pizza,567.0,4.5,0.0,0.0,45.73798751831055,4.837673187255859,69007  Lyon  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L'Institut Restaurant,493.0,4.5,0.0,0.0,45.75639343261719,4.833347797393799,69002  Lyon  ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vieille Canaille,214.0,4.5,1.0,0.0,45.748775482177734,4.8430280685424805,69007  Lyon  ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miraflores,220.0,4.5,1.0,0.0,45.76968002319336,4.850240230560303,69006  Lyon  ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rose Indien,227.0,4.5,0.0,0.0,45.77476119995117,4.805241107940674,69009  Lyon  ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wasabi,345.0,4.5,0.0,0.0,45.748775482177734,4.8430280685424805,69007  Lyon  ,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamasan,115.0,4.5,1.0,0.0,45.76097869873047,4.836517810821533,69002  Lyon  ,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Galvan Restaurant,682.0,4.5,0.0,0.0,45.76266098022461,4.826900005340576,69005  Lyon  ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumble,124.0,4.5,0.0,0.0,45.74923324584961,4.838592052459717,69007  Lyon  ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REM'S PUB,157.0,4.5,0.0,0.0,45.74361038208008,4.8259100914001465,69002  Lyon  ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
